Location,Period,Life Expectancy,Birth Attended,Medical Doctor Available,Nurse and Midwife Available
Greece,2015,80.38,99.93,45.722,36.238
Greece,2010,80.1,99.968,40.375,34.694
Greece,2000,78.17,99.94,38.57818182,10.65166667
Grenada,2010,71.97,99.7,5.845,35.9825
Grenada,2000,71.97,100,5.146666667,37.04
Guatemala,2010,69.3,45.06666667,9.04,8.7
Guinea,2019,61.01,59,0.83,1.24
Guinea,2015,58.81,45.3,0.86,2.315
Guinea,2010,58.07,44.26666667,1.07,4.94
Guinea-Bissau,2015,58.23,45,1.34,5.435
Guinea-Bissau,2010,55.43,37,0.936666667,7.256666667
Guyana,2010,64.77,94.31666667,4.51,11.645
Haiti,2015,62.61,42.95,1.115,7.34
Honduras,2019,71.94,76.5,5.98,7.386666667
Honduras,2015,69.82,77.4,9.84,6.873333333
Honduras,2010,71.15,66.3,3.27,9.525
Hungary,2019,76.44,99.7,32.31,67.87666667
Hungary,2015,75.57,99.18,31.554,65.826
Hungary,2010,74.58,99.55,31.69,61.413
Hungary,2000,71.34,99.5,33.32090909,55.25636364
Iceland,2019,82.33,98.03333333,38.89,156.9333333
Iceland,2015,82.14,97.96,35.894,159.4
Iceland,2010,81.68,99.02,36.306,149.14
Iceland,2000,79.7,99.3,20.095,135.6909091
India,2019,70.79,81.4,7.59,17.76666667
India,2015,69.31,81.4,7.203333333,12.294
India,2010,67.23,49.45,5.884,10.08666667
Indonesia,2015,70.61,85.25,2.74,14.01
Indonesia,2010,69.26,73,1.396666667,9.723333333
Iran (Islamic Republic of),2015,76.66,98.775,13.285,18.17333333
Iran (Islamic Republic of),2010,75.86,97.13333333,7.683333333,14.96666667
Iraq,2019,72.42,95.6,8.54,18.57666667
Iraq,2015,70.29,80.65,10.36,18.71
Ireland,2019,81.84,99.7,32.32,158.35
Ireland,2015,81.14,99.76,36.292,139.36
Ireland,2010,80.41,99.69,33.42,133.59
Ireland,2000,76.41,99.6,20.31090909,140.3
Italy,2019,82.97,99.9,39.5,58.79
Italy,2015,82.21,99.9,38.786,54.97
Italy,2010,81.9,99.74444444,36.93,52.03125
Jamaica,2019,75.98,99.7,4.55,12.93666667
Jamaica,2015,75.85,99.5,4.0425,14.5625
Jamaica,2010,75.77,93.875,6.145,13.335
Japan,2019,84.26,99.86666667,24.12,120.5
Japan,2015,83.62,99.825,23.075,111
Japan,2010,82.68,99.8,21.166,59.356
Japan,2000,81.12,99.8,18.57833333,1.861666667
Jordan,2019,77.87,99.7,13.95,30.905
Jordan,2015,77.82,99.6,24.02333333,24.62666667
Jordan,2010,76.59,99.1,22.118,31.45
Kazakhstan,2015,71.91,99.854,39.475,77.006
Kazakhstan,2010,68.43,99.24444444,36.613,70.549
Kazakhstan,2000,63.15,98.3,37.14727273,88.42090909
Kenya,2015,64.17,61.8,1.8625,10.93
Kenya,2010,61.18,43.8,1.5975,4.7575
Kiribati,2010,58.01,76.42,3.255,34.84333333
Kuwait,2015,81.13,98.98,25.506,65.88
Kuwait,2010,79.83,98.61428571,19.078,48.10333333
Kyrgyzstan,2015,71.59,98.85,22.555,60.2225
Kyrgyzstan,2010,69.17,98.38,24.774,63.123
Kyrgyzstan,2000,65.95,98.6,31.52272727,93.67545455
Lao People's Democratic Republic,2015,67.08,40.1,3.746666667,10.4325
Lao People's Democratic Republic,2010,64.88,16.75,4.03,9.2675
Latvia,2019,75.38,99.9,31.89,47.79
Latvia,2015,74.8,98.72,31.308,49.656
Latvia,2010,72.94,99.05,32.223,52.109
